Common name	Scientific name	Status	No.	No. Back
Scarlet Ibis	Eudocimus ruber		5	1
Glossy Ibis	Plegadis falcinellus		46	27
White-faced Ibis	Plegadis chihi		45	7
Puna Ibis	Plegadis ridgwayi		16	3
Eurasian Spoonbill	Platalea leucorodia		15	27
Roseate Spoonbill	Platalea ajaja		17	6
Rufescent Tiger Heron	Tigrisoma lineatum		50	17
Fasciated Tiger Heron	Tigrisoma fasciatum		4	0
Bare-throated Tiger Heron	Tigrisoma mexicanum		17	2
Agami Heron	Agamia agami		9	1
Boat-billed Heron	Cochlearius cochlearius		28	8
Zigzag Heron	Zebrilus undulatus		48	17
American Bittern	Botaurus lentiginosus		56	41
Pinnated Bittern	Botaurus pinnatus		16	0
Stripe-backed Bittern	Ixobrychus involucris		15	0
Least Bittern	Ixobrychus exilis		85	16
Little Bittern	Ixobrychus minutus		108	14
Yellow Bittern	Ixobrychus sinensis		9	0
Black-crowned Night Heron	Nycticorax nycticorax		173	63
Yellow-crowned Night Heron	Nyctanassa violacea		16	1
Green Heron	Butorides virescens		78	34
Striated Heron	Butorides striata		101	16
Chinese Pond Heron	Ardeola bacchus		18	0
Western Cattle Egret	Bubulcus ibis		140	55
Grey Heron	Ardea cinerea		273	247
Great Blue Heron	Ardea herodias		55	21
Cocoi Heron	Ardea cocoi		42	10
Great-billed Heron	Ardea sumatrana		5	0
Purple Heron	Ardea purpurea		63	30
Great Egret	Ardea alba		166	38
Capped Heron	Pilherodius pileatus		3	0
Whistling Heron	Syrigma sibilatrix		46	4
Intermediate Egret	Egretta intermedia		10	0
Reddish Egret	Egretta rufescens		7	0
Tricolored Heron	Egretta tricolor		28	5
Little Blue Heron	Egretta caerulea		37	5
Snowy Egret	Egretta thula		50	15
Little Egret	Egretta garzetta		159	64
Western Reef Heron	Egretta gularis		6	8
Chinese Egret	Egretta eulophotes		0	0
American White Pelican	Pelecanus erythrorhynchos		5	1
Brown Pelican	Pelecanus occidentalis		3	0
Peruvian Pelican	Pelecanus thagus		1	0
Magnificent Frigatebird	Fregata magnificens		9	1
Great Frigatebird	Fregata minor		25	2
Lesser Frigatebird	Fregata ariel		0	0
Northern Gannet	Morus bassanus		59	36
Cape Gannet	Morus capensis		7	1
Australasian Gannet	Morus serrator		4	0
Blue-footed Booby	Sula nebouxii		5	1
Peruvian Booby	Sula variegata		0	0
Masked Booby	Sula dactylatra		26	0
Nazca Booby	Sula granti		8	4
Red-footed Booby	Sula sula		40	9
Brown Booby	Sula leucogaster		13	1
Red-legged Cormorant	Phalacrocorax gaimardi		5	0
Brandt's Cormorant	Phalacrocorax penicillatus		4	1
Pelagic Cormorant	Phalacrocorax pelagicus		6	0
Red-faced Cormorant	Phalacrocorax urile		4	0
Neotropic Cormorant	Phalacrocorax brasilianus		66	26
Double-crested Cormorant	Phalacrocorax auritus		37	18
Great Cormorant	Phalacrocorax carbo		68	61
Rock Shag	Phalacrocorax magellanicus		5	2
Guanay Cormorant	Leucocarbo bougainvillii		0	0
Imperial Shag	Leucocarbo atriceps		5	0
Anhinga	Anhinga anhinga		34	23
Turkey Vulture	Cathartes aura		4	3
Lesser Yellow-headed Vulture	Cathartes burrovianus		0	0
Greater Yellow-headed Vulture	Cathartes melambrotus		0	0
Black Vulture	Coragyps atratus		32	2
King Vulture	Sarcoramphus papa		0	0
California Condor	Gymnogyps californianus		0	0
Andean Condor	Vultur gryphus		1	0
Western Osprey	Pandion haliaetus		143	29
White-tailed Kite	Elanus leucurus		29	6
Pearl Kite	Gampsonyx swainsonii		20	1
Grey-headed Kite	Leptodon cayanensis		68	5
Hook-billed Kite	Chondrohierax uncinatus		20	1
Swallow-tailed Kite	Elanoides forficatus		72	2
Crested Eagle	Morphnus guianensis		8	0
Harpy Eagle	Harpia harpyja		42	1
Black Hawk-Eagle	Spizaetus tyrannus		123	18
Black-and-white Hawk-Eagle	Spizaetus melanoleucus		9	0
Ornate Hawk-Eagle	Spizaetus ornatus		62	8
Black-and-chestnut Eagle	Spizaetus isidori		16	0
Crowned Eagle	Stephanoaetus coronatus		19	0
Booted Eagle	Hieraaetus pennatus		18	21
Golden Eagle	Aquila chrysaetos		26	1
Double-toothed Kite	Harpagus bidentatus		27	0
Rufous-thighed Kite	Harpagus diodon		26	1
Tiny Hawk	Accipiter superciliosus		18	0
Semicollared Hawk	Accipiter collaris		4	0
Grey-bellied Hawk	Accipiter poliogaster		24	0
